Country	Country Cod	Series	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
Algeria	DZA	Government Effectiveness: Estimate	-0.597519755	-0.612372875	-0.572630763	-0.467567503	-0.472641259	-0.565725446	-0.626526654	-0.582936943	-0.4795416	-0.564615488	-0.532319129	-0.534194887	-0.477552891	-0.500323355	-0.544694543
Algeria	DZA	Regulatory Quality: Estimate	-0.583471656	-0.517234147	-0.544126511	-0.383398563	-0.571554184	-0.622034013	-0.794613838	-1.07380271	-1.171034455	-1.189573884	-1.276868463	-1.165970087	-1.282962322	-1.173604727	-1.171842575
Algeria	DZA	Rule of Law: Estimate	-0.630158603	-0.587644041	-0.620909214	-0.75083214	-0.708591282	-0.772745669	-0.741468847	-0.793536186	-0.784947515	-0.807665765	-0.77228111	-0.689373612	-0.773167908	-0.868520021	-0.849319279
American Samoa	ASM	Political Stability and Absence of Violence/Terrorism: Estimate	..	..	0.737628758	0.746486902	0.704094112	0.967951357	0.984192848	0.945634067	0.919146717	0.93399018	0.95299083	0.928985775	1.08068347	1.181357265	1.192534208
American Samoa	ASM	Control of Corruption: Estimate	..	..	0.807995975	0.796942115	0.305987746	0.313636512	0.32526949	0.352487057	0.33297351	0.317739636	0.306683242	0.309939086	1.225221634	1.218488932	1.230340838
American Samoa	ASM	Government Effectiveness: Estimate	..	..	-0.109690651	0.230502456	0.254496306	0.487175971	0.505678236	0.502315164	0.49284777	0.486882061	0.485967219	0.490560621	0.441491038	0.487578034	0.531471789
American Samoa	ASM	Regulatory Quality: Estimate	..	..	0.506222963	0.371992946	0.361961454	0.377417803	0.390633106	0.403685659	0.39566046	0.390297949	0.363233328	0.366314024	0.180866703	0.172452301	0.136647478
American Samoa	ASM	Rule of Law: Estimate	..	..	0.853366733	1.119750142	1.080183744	1.10512352	1.127510905	1.131649971	1.11774087	1.098715305	1.102442503	1.108082652	1.410082817	1.345253229	1.32824564
Andorra	AND	Political Stability and Absence of Violence/Terrorism: Estimate	1.282038689	1.464985609	1.40148735	1.384696484	1.348995447	1.340643764	1.337765336	1.296418428	1.278272152	1.302488327	1.290351152	1.28392601	1.286593318	1.39128828	1.396046758
Andorra	AND	Control of Corruption: Estimate	1.349896431	1.376689911	1.137412429	1.278152943	1.25953114	1.269964576	1.288655162	1.325579286	1.308071971	1.279276848	1.268372536	1.260797977	1.225221634	1.218488932	1.230340838
Andorra	AND	Government Effectiveness: Estimate	1.423873901	1.410648108	1.524565816	1.292861938	1.543034554	1.50825417	1.537209153	1.540095806	1.51803267	1.504689455	1.531355619	1.539396763	1.718335867	1.787497282	1.860200763
Andorra	AND	Regulatory Quality: Estimate	1.468842149	1.447286487	1.424215674	1.360657215	1.350138307	1.377706289	1.398467541	1.408182502	1.391691685	1.617491364	1.568977952	1.56749928	0.885066509	0.912940443	0.871408939
Andorra	AND	Rule of Law: Estimate	1.252000809	1.08720696	1.210473299	0.976217151	0.865921497	1.182821274	1.196157694	1.224501491	1.204553246	1.407835245	1.407764435	1.40904355	1.641952872	1.576003432	1.564010501
Angola	AGO	Political Stability and Absence of Violence/Terrorism: Estimate	-1.577046394	-1.006537795	-1.062797546	-0.887543917	-0.541985989	-0.666032195	-0.362911493	-0.347262442	-0.226182342	-0.36923781	-0.389322549	-0.391233474	-0.333232045	-0.500897765	-0.386640251
Angola	AGO	Control of Corruption: Estimate	-1.183629155	-1.320665479	-1.313558817	-1.296138883	-1.220061183	-1.289693236	-1.284620643	-1.404654503	-1.325729966	-1.344286561	-1.268586993	-1.309700489	-1.443890452	-1.394753456	-1.411828637
Angola	AGO	Government Effectiveness: Estimate	-1.238856673	-1.156531334	-1.314578176	-1.137153387	-1.369492531	-1.206412315	-1.062213182	-0.960353315	-1.117896199	-1.153555632	-0.989631712	-1.223171473	-1.123668909	-1.000091553	-1.039376974
Angola	AGO	Regulatory Quality: Estimate	-1.463160157	-1.21214366	-1.251538634	-1.257796049	-1.132906675	-1.024659872	-1.065343976	-1.031473398	-1.035929203	-1.097775578	-0.969778121	-1.054224253	-0.988458931	-0.909185529	-1.00138104
Angola	AGO	Rule of Law: Estimate	-1.617329359	-1.521410227	-1.496278524	-1.427660942	-1.300314307	-1.365903616	-1.366982222	-1.230835199	-1.265286922	-1.265381217	-1.269548297	-1.267903686	-1.118136406	-1.081933975	-1.08052218
Anguilla	AIA	Political Stability and Absence of Violence/Terrorism: Estimate	..	..	0.788873911	1.193962097	1.107798457	1.086767077	1.116135955	0.870085537	1.373761654	1.550927639	1.476920247	1.533979535	1.164254904	1.249272108	1.306667805
Anguilla	AIA	Control of Corruption: Estimate	..	..	0.855055511	1.278152943	1.25953114	1.269964576	1.288655162	1.325579286	1.308071971	1.279276848	1.268372536	1.260797977	1.225221634	1.218488932	1.230340838
Anguilla	AIA	Government Effectiveness: Estimate	..	..	1.078859687	1.558451772	1.543034554	1.50825417	1.537209153	1.540095806	1.51803267	1.504689455	1.531355619	1.539396763	0.952229023	1.00754571	1.328709245
Anguilla	AIA	Regulatory Quality: Estimate	..	..	0.916903853	1.113491058	1.350138307	1.377706289	1.398467541	1.408182502	1.391691685	1.372052789	1.327829003	1.327262163	0.885066509	0.912940443	0.871408939
Anguilla	AIA	Rule of Law: Estimate	..	..	1.159124851	1.64484477	1.599525094	1.636582851	1.670905709	1.400128007	1.382128716	1.360597372	1.364445925	1.36789608	0.018862573	-0.039248616	-0.086343013
Antigua and Barbuda	ATG	Political Stability and Absence of Violence/Terrorism: Estimate	0.792757034	0.865594327	1.085709929	0.830348432	0.799531698	0.80225879	0.813932836	0.721324444	0.904999375	0.957588255	0.975788057	0.958863378	0.984550714	1.004724503	1.01384449
Antigua and Barbuda	ATG	Control of Corruption: Estimate	0.880126476	0.888943553	0.85665977	0.749995589	1.12754488	1.154757142	1.288655162	1.325579286	1.308071971	1.279276848	1.268372536	1.260797977	0.63990289	0.689627349	0.692292392
Antigua and Barbuda	ATG	Government Effectiveness: Estimate	0.614345491	0.633327544	0.55905205	0.453246981	0.416458994	0.405212432	0.505678236	0.502315164	0.49284777	0.486882061	0.485967219	0.490560621	-0.069246948	0.227594227	0.26572603
Antigua and Barbuda	ATG	Regulatory Quality: Estimate	0.735908449	0.715714216	0.591086924	0.587315023	0.54819268	0.531362474	0.642591655	0.654809833	0.644668281	0.635736644	0.604382277	0.60655117	0.532966614	0.374078214	0.341370732
Antigua and Barbuda	ATG	Rule of Law: Estimate	1.061045766	1.068988919	0.922665536	0.668598592	0.931670547	0.906755805	0.946843028	0.97906363	0.959227502	0.949472129	0.951546371	0.837808132	-0.177203804	0.589894295	0.509351373
Argentina	ARG	Political Stability and Absence of Violence/Terrorism: Estimate	-0.779415369	-0.358941168	-0.609955668	-0.041768059	0.003055698	0.098858513	-0.085222185	-0.232405573	-0.084797867	0.158993661	0.103040546	0.065314263	-0.005121871	0.01478538	0.221892059
Argentina	ARG	Control of Corruption: Estimate	-0.468211174	-0.478336334	-0.424991339	-0.388192415	-0.341253698	-0.340291649	-0.435576528	-0.444996059	-0.361469239	-0.366157889	-0.443139851	-0.432282001	-0.541620135	-0.547045171	-0.313135892
Argentina	ARG	Government Effectiveness: Estimate	-0.280357331	-0.047438342	-0.057569072	-0.124214523	-0.045504238	-0.015958933	-0.146811858	-0.318264842	-0.16279	-0.12005613	-0.23857522	-0.277548879	-0.159135252	-0.07490325	0.176795974
Argentina	ARG	Regulatory Quality: Estimate	-0.919025242	-0.708925664	-0.71375984	-0.548367202	-0.640631735	-0.668215573	-0.737520456	-0.845035613	-0.76236856	-0.72220993	-0.92921716	-0.957261026	-1.074256778	-0.911441922	-0.469679564
Argentina	ARG	Rule of Law: Estimate	-0.757995069	-0.773514152	-0.80737251	-0.554654777	-0.568944037	-0.591604114	-0.676608086	-0.675477803	-0.590508997	-0.560893416	-0.67968142	-0.707676113	-0.886034548	-0.770812094	-0.345988482
Armenia	ARM	Political Stability and Absence of Violence/Terrorism: Estimate	-0.257475168	0.237198129	-0.116862893	-0.067534991	-0.262740493	0.150446042	-0.009365265	0.227774754	0.071855329	-0.063868985	0.154794976	0.110385142	-0.2971358	-0.252332628	-0.60086602
Armenia	ARM	Control of Corruption: Estimate	-0.746523917	-0.570028603	-0.61048311	-0.674141288	-0.670822501	-0.742384374	-0.708097577	-0.619757712	-0.696304202	-0.656885028	-0.58778739	-0.531947136	-0.523998499	-0.533811212	-0.568729758
Armenia	ARM	Government Effectiveness: Estimate	-0.091401666	-0.156300694	-0.09224125	-0.139913037	-0.254579186	-0.375843793	-0.172693923	-0.029734781	-0.183843538	-0.128958896	-0.042271338	0.069011472	-0.198050931	-0.16071257	-0.149187073
Armenia	ARM	Regulatory Quality: Estimate	0.039488591	0.209789366	0.129102901	0.08347667	0.284605771	0.271803975	0.337867737	0.296255916	0.309482276	0.273206711	0.349336952	0.252607048	0.213424489	0.24180688	0.2499796
Armenia	ARM	Rule of Law: Estimate	-0.423272014	-0.302556425	-0.42260766	-0.400249153	-0.546435356	-0.498376489	-0.340526551	-0.475851953	-0.488639891	-0.440966725	-0.417913109	-0.344212234	-0.365905493	-0.387850553	-0.105174474
Aruba	ABW	Political Stability and Absence of Violence/Terrorism: Estimate	..	..	0.993854582	1.379846573	1.305752516	1.287162662	1.319140673	1.122499466	1.100847363	1.285737753	1.263881564	1.312226295	1.164567828	1.230921268	1.276316524
Aruba	ABW	Control of Corruption: Estimate	..	..	1.184471965	1.278152943	1.25953114	1.269964576	1.288655162	1.11636126	1.127208591	1.109980702	1.10297966	1.126604676	1.018918037	1.29709661	1.292231202
Aruba	ABW	Government Effectiveness: Estimate	..	..	1.301712751	1.292861938	1.285326958	1.252984643	1.279326439	1.500568032	1.251718879	1.242131352	1.254732013	1.227073789	0.891651392	0.883769929	0.896265566
Aruba	ABW	Regulatory Quality: Estimate	..	..	0.771957695	0.86632514	0.856049955	0.877561986	0.894550323	1.291654825	1.347077608	1.322829962	1.408916116	1.429110646	1.250432014	1.371496201	1.347679496
Aruba	ABW	Rule of Law: Estimate	..	..	0.929806232	0.857202649	0.82051301	0.839393795	0.855813384	1.433195233	1.422983408	1.330820918	1.316214681	1.299766183	1.038311601	1.261039615	1.289892197
Australia	AUS	Political Stability and Absence of Violence/Terrorism: Estimate	1.192910552	0.878802061	0.936502934	0.893511176	0.935187817	0.928789794	0.955644846	0.855688989	0.888859868	0.935710073	0.997997224	1.031072974	1.032191992	0.884979844	0.963897407
Australia	AUS	Control of Corruption: Estimate	1.809628129	1.949853897	2.028761148	1.952358246	1.960568428	2.010918379	2.042481899	2.051661491	2.03145504	2.044636965	1.985773921	1.785321593	1.853449464	1.882090449	1.770847321
Australia	AUS	Government Effectiveness: Estimate	1.718942881	1.837643385	2.006777525	1.751212955	1.711956024	1.825558782	1.79396975	1.705787301	1.768755913	1.69595015	1.621440053	1.639869452	1.607114673	1.564803481	1.584797382
Australia	AUS	Regulatory Quality: Estimate	1.467518926	1.607837439	1.721606851	1.600643277	1.623902559	1.683095336	1.765919328	1.819983959	1.698415041	1.858608603	1.786467791	1.800867558	1.863708377	1.78868413	1.897101283
Australia	AUS	Rule of Law: Estimate	1.7999897	1.882049084	1.815571547	1.724451184	1.770039797	1.761236548	1.770850778	1.740398169	1.764965892	1.742579937	1.766946197	1.778639317	1.923104525	1.825228572	1.752019286
Austria	AUT	Political Stability and Absence of Violence/Terrorism: Estimate	1.362205505	0.963399291	1.090581775	1.105386257	1.075933337	1.283751845	1.339205861	1.190602183	1.152648211	1.193521619	1.340566874	1.364100575	1.270700455	1.143079281	0.817217648
Austria	AUT	Control of Corruption: Estimate	1.96643424	2.019735813	2.049625158	1.922060013	1.914531231	2.013397455	1.843034983	1.703024626	1.585461736	1.43189621	1.389730573	1.55079484	1.474734902	1.519258499	1.544057369
Austria	AUT	Government Effectiveness: Estimate	1.942697525	1.995846033	1.86530304	1.684594631	1.831036448	1.870186687	1.780839682	1.666579604	1.841762662	1.617761374	1.57587254	1.588477135	1.572585702	1.479387999	1.513507843
Austria	AUT	Regulatory Quality: Estimate	1.58583951	1.56971693	1.524202585	1.606079459	1.644534707	1.690030575	1.606343746	1.452586651	1.452815413	1.382634044	1.524189234	1.490679264	1.487730265	1.403265715	1.440450907
Austria	AUT	Rule of Law: Estimate	1.891655922	1.887247086	1.836986065	1.85919106	1.913556695	1.960128188	1.922994852	1.784890175	1.800300002	1.801554561	1.858178735	1.851382136	1.952464104	1.855263472	1.777863264
Azerbaijan	AZE	Political Stability and Absence of Violence/Terrorism: Estimate	-1.193173289	-0.948665559	-1.061107039	-1.127512336	-1.094161749	-0.625567079	-0.333474815	-0.27594015	-0.238546923	-0.532135963	-0.715751827	-0.412859917	-0.559909523	-0.729565561	-0.870391667
Azerbaijan	AZE	Control of Corruption: Estimate	-1.179272413	-1.007087469	-1.163041949	-1.044909954	-1.089759469	-1.122894764	-1.148547888	-1.188453794	-1.243801594	-1.178858161	-1.126894116	-0.966777384	-1.018747091	-0.929962456	-0.869930208
Azerbaijan	AZE	Government Effectiveness: Estimate	-0.929009378	-0.766856909	-0.742428422	-0.729437172	-0.653525293	-0.789176464	-0.773533463	-0.65811944	-0.806934357	-0.765148282	-0.782640159	-0.475038588	-0.363815427	-0.257282048	-0.156112611
Azerbaijan	AZE	Regulatory Quality: Estimate	-0.706977367	-0.5656479	-0.590220213	-0.577721059	-0.523242772	-0.459030628	-0.354921013	-0.308057517	-0.372376084	-0.371966302	-0.455590755	-0.408312291	-0.277141571	-0.254719287	-0.282158345
Azerbaijan	AZE	Rule of Law: Estimate	-0.908656955	-0.836519778	-0.874774635	-0.791749895	-0.885042727	-0.879309952	-0.83245194	-0.879994273	-0.893052042	-0.89370662	-0.834511161	-0.723857284	-0.672239363	-0.673693717	-0.565593541
"Bahamas, The"	BHS	Political Stability and Absence of Violence/Terrorism: Estimate	0.956500292	0.826999247	0.891071081	0.938636839	0.810648799	0.730004489	0.774838746	0.860551536	0.993692219	1.103621483	1.184026003	1.134824634	0.956470132	0.907476485	0.903345406
"Bahamas, The"	BHS	Control of Corruption: Estimate	1.456810474	1.453112125	1.430822134	1.337382197	1.351619601	1.336277485	1.342182875	1.367955446	1.354775786	1.353806615	1.323942661	1.341891885	1.313176751	1.135777473	1.134529352
"Bahamas, The"	BHS	Government Effectiveness: Estimate	1.309837818	1.282934785	1.221894741	1.210941315	1.169822574	1.10899055	1.149585009	1.008501291	1.075746179	0.980085611	0.989576817	0.872554958	0.728960156	0.712929964	0.717308939
"Bahamas, The"	BHS	Regulatory Quality: Estimate	1.342486024	1.186556697	1.133929491	1.106880903	1.051078439	1.028625131	1.052687287	0.802767754	0.550784409	0.52802521	0.395023912	0.190062672	0.171973601	0.166172862	0.257599503
"Bahamas, The"	BHS	Rule of Law: Estimate	1.430701017	1.45366466	1.399562001	1.377809167	1.086697698	1.266324162	1.195433617	0.796727896	0.722486496	0.61718303	0.619721949	0.63790983	0.665428877	0.597127914	0.229195848
Bahrain	BHR	Political Stability and Absence of Violence/Terrorism: Estimate	0.28414613	0.483239025	0.312665284	0.011602206	-0.366437256	-0.247196898	-0.237403244	-0.136449441	-0.493476391	-0.950841904	-1.129954934	-1.335417747	-0.907474875	-1.073540211	-0.861849666
Bahrain	BHR	Control of Corruption: Estimate	0.820578575	0.399893194	0.451451123	0.390058488	0.194029868	0.180773556	0.188940018	0.185156628	0.18321301	0.217317834	0.37384209	0.433094054	0.278830528	0.138852224	-0.058248363
Bahrain	BHR	Government Effectiveness: Estimate	0.552827895	0.481796503	0.546101987	0.396987498	0.395685196	0.408986092	0.386812687	0.480627418	0.456938028	0.520667136	0.549759269	0.58878696	0.565039575	0.559969604	0.324103683
Bahrain	BHR	Regulatory Quality: Estimate	0.907505751	0.654210746	0.71152246	0.662023306	0.683344722	0.765328586	0.711043358	0.694249928	0.713897705	0.720996737	0.689446628	0.607382298	0.708473146	0.819666862	0.608254194
Bahrain	BHR	Rule of Law: Estimate	0.567690253	0.620200813	0.709429264	0.606274903	0.379538387	0.532829881	0.532876849	0.517286479	0.435519338	0.352287024	0.258338988	0.331083685	0.413719535	0.425056159	0.458846271
Bangladesh	BGD	Political Stability and Absence of Violence/Terrorism: Estimate	-1.033550501	-1.115403295	-1.361260414	-1.863764167	-1.505493402	-1.540047765	-1.505937099	-1.544713378	-1.425789475	-1.404736876	-1.379088998	-1.627858877	-0.895563185	-1.212017894	-1.240991354
Bangladesh	BGD	Control of Corruption: Estimate	-1.361227036	-1.442822099	-1.496537805	-1.387596726	-1.434258342	-1.0560776	-1.034565449	-1.069779992	-1.057120681	-1.087313652	-0.849843323	-0.887070596	-0.886938334	-0.808318794	-0.801719427
Bangladesh	BGD	Government Effectiveness: Estimate	-0.688740909	-0.725445151	-0.819185138	-0.911300302	-0.824527144	-0.704503596	-0.732424378	-0.791247904	-0.735632539	-0.755214989	-0.804165363	-0.793824732	-0.765750408	-0.723579228	-0.689339936
Bangladesh	BGD	Regulatory Quality: Estimate	-0.978617191	-0.916685998	-1.126801372	-1.07200563	-1.001249194	-0.945693076	-0.916327536	-0.864524364	-0.847086787	-0.811522841	-0.951405048	-0.914780378	-0.937578142	-0.899058282	-0.796762228
Bangladesh	BGD	Rule of Law: Estimate	-0.903027236	-1.047652602	-1.019970417	-0.978906572	-0.903965473	-0.826785684	-0.750139594	-0.785552621	-0.802934527	-0.732430398	-0.929304183	-0.866816878	-0.777665257	-0.751279891	-0.590466201
Barbados	BRB	Political Stability and Absence of Violence/Terrorism: Estimate	1.097169161	0.918888807	1.095372677	1.115677238	0.91464293	1.044320345	1.070771933	1.048899293	1.06063664	1.246130109	1.185965657	1.26692915	1.277919888	1.135361314	0.962682724
Barbados	BRB	Control of Corruption: Estimate	1.527845383	1.544669151	1.428756118	1.419328928	1.334152818	1.410959363	1.370843768	1.384172201	1.483429551	1.724580765	1.656359434	1.61942935	1.138042569	1.490511537	1.243498683
Barbados	BRB	Government Effectiveness: Estimate	1.423873901	1.410648108	1.205474734	1.295830488	1.449118614	1.327272892	1.572234511	1.48438859	1.411678314	1.470893621	1.462176323	1.357321978	1.204713941	1.025392413	1.082464218
Barbados	BRB	Regulatory Quality: Estimate	1.125081658	1.154789805	1.088803411	1.155897498	1.001060247	1.080872178	0.880969405	0.586339831	0.507416606	0.647341549	0.453495353	0.457041264	0.338593423	0.565887511	0.481005102
Barbados	BRB	Rule of Law: Estimate	1.524477363	1.555117846	1.441817403	1.345576286	1.236725092	1.328912973	1.308763385	1.014320135	1.081030488	1.081795573	1.031676412	1.046182513	1.08249259	1.095227122	0.784002125
Belarus	BLR	Political Stability and Absence of Violence/Terrorism: Estimate	0.302270532	0.693226874	0.161250234	0.357308894	0.146807671	0.340541124	0.51848948	0.488780081	-0.094990097	-0.087769009	0.06861522	0.005959166	0.179782152	0.110016517	0.11998371
Belarus	BLR	Control of Corruption: Estimate	-0.70329994	-0.592360497	-0.800241113	-0.753987312	-0.620269716	-0.659401715	-0.628875554	-0.628214955	-0.694098711	-0.679451048	-0.517496705	-0.471229315	-0.304926783	-0.335035771	-0.285219759
Belarus	BLR	Government Effectiveness: Estimate	-0.922620893	-0.924638212	-1.06912148	-1.083960295	-1.117118716	-1.112912774	-1.1141994	-1.129520655	-1.114167333	-1.077807307	-0.901626885	-0.896814287	-0.486170083	-0.458772182	-0.512486517
Belarus	BLR	Regulatory Quality: Estimate	-1.527505279	-1.300569415	-1.21865356	-1.454486251	-1.622619271	-1.42579937	-1.237736464	-1.12110889	-1.131118178	-1.1774441	-1.069632411	-1.068252087	-1.00851357	-0.9935866	-0.941463411
Belarus	BLR	Rule of Law: Estimate	-1.335947514	-1.194219351	-1.261962891	-1.227589607	-1.334361911	-1.209227562	-1.062698364	-1.030047178	-1.069661379	-1.107304454	-0.937003851	-0.900919497	-0.84030503	-0.812937558	-0.781756878
Belgium	BEL	Political Stability and Absence of Violence/Terrorism: Estimate	1.264332652	0.859670281	0.710141778	0.795810878	0.857654214	0.757429183	0.621243298	0.819908977	0.810646176	0.954535425	0.92359972	0.940082729	0.701269448	0.587094605	0.482584447
Belgium	BEL	Control of Corruption: Estimate	1.499903679	1.419815779	1.37990427	1.385844111	1.309614301	1.355734944	1.374890208	1.460205913	1.527498484	1.575072408	1.608068228	1.673882127	1.573291898	1.573288798	1.603359342
Belgium	BEL	Government Effectiveness: Estimate	1.978010178	1.933774114	1.875864148	1.711561441	1.747100949	1.608859658	1.389755607	1.571341515	1.575025916	1.656355858	1.602476358	1.607339144	1.381594181	1.438697577	1.326384664
Belgium	BEL	Regulatory Quality: Estimate	1.298515797	1.314251781	1.356271625	1.272992134	1.330316305	1.419905782	1.405549765	1.312602162	1.285019755	1.241628647	1.22857964	1.2914536	1.157765388	1.287758946	1.34068954
Belgium	BEL	Rule of Law: Estimate	1.374162078	1.365136147	1.328162551	1.268298388	1.236090422	1.330672145	1.345494866	1.384072661	1.393127918	1.418425918	1.427129149	1.43843472	1.52343905	1.463508606	1.402365565
Belize	BLZ	Political Stability and Absence of Violence/Terrorism: Estimate	0.416043013	0.485956788	0.401626587	0.101920225	0.079578303	0.194411606	0.187959462	0.027838364	0.070427686	0.15190886	0.180257618	0.176189259	0.048583075	0.043097582	0.057324488
Belize	BLZ	Control of Corruption: Estimate	-0.236138031	-0.085156962	-0.287377745	-0.298595011	-0.361199498	-0.366847813	-0.338211209	-0.046637058	-0.106944919	-0.330713093	-0.136378542	-0.096926771	-0.198207378	-0.222508013	-0.24498421
Belize	BLZ	Government Effectiveness: Estimate	0.058294665	-0.056936767	-0.257134527	-0.089135915	-0.333179981	-0.453381538	-0.513148785	-0.449096531	-0.430088371	-0.380969495	-0.324690014	-0.329106957	-0.657314658	-0.684154153	-0.676089704
Belize	BLZ	Regulatory Quality: Estimate	0.015574462	0.117823511	-0.159960508	0.008822395	-0.34490183	-0.411692321	-0.442784458	-0.438527346	-0.410388052	-0.513800502	-0.473247647	-0.484414726	-0.496547848	-0.46345076	-0.51242882
Belize	BLZ	Rule of Law: Estimate	-0.089089215	0.099129021	-0.19184278	-0.162751317	-0.044787042	-0.10779243	-0.20873253	-0.367874175	-0.339511961	-0.485015631	-0.457807392	-0.467051774	-0.745151877	-0.720960438	-0.86176306
Benin	BEN	Political Stability and Absence of Violence/Terrorism: Estimate	0.820294201	0.679063499	0.265106827	0.446815848	0.547010481	0.386122555	0.374591321	0.40329805	0.261260122	0.318356365	0.364367604	0.301189363	0.027139762	-0.013513958	0.054139834
Benin	BEN	Control of Corruption: Estimate	-0.726461828	-0.478255957	-0.464950711	-0.850088537	-0.588619053	-0.463171452	-0.503310323	-0.61562705	-0.660816848	-0.593528569	-0.856533051	-0.744106054	-0.666071117	-0.560777724	-0.482515246
Benin	BEN	Government Effectiveness: Estimate	-0.367727727	-0.282666504	-0.356262863	-0.657626808	-0.60658884	-0.532690585	-0.462368071	-0.57548207	-0.594688594	-0.545896649	-0.51528728	-0.489440292	-0.456818074	-0.621204197	-0.566010177
Benin	BEN	Regulatory Quality: Estimate	-0.403324187	-0.477992088	-0.484781146	-0.65391171	-0.427571863	-0.444190472	-0.497294128	-0.34653455	-0.333555698	-0.346262455	-0.378603578	-0.400784254	-0.585913837	-0.563028872	-0.527902186
Benin	BEN	Rule of Law: Estimate	-0.228581086	-0.377938181	-0.509538472	-0.541541636	-0.533922434	-0.517242789	-0.533910751	-0.653883696	-0.673173428	-0.663297176	-0.585672617	-0.568667173	-0.488022417	-0.535739422	-0.654478788
Bermuda	BMU	Political Stability and Absence of Violence/Terrorism: Estimate	0.792757034	0.853129327	0.894766688	0.819997251	0.775330603	0.771813452	0.796786189	0.693840563	0.911838114	0.964122117	0.980253696	0.970303059	0.913897812	0.983049035	0.998822272
Bermuda	BMU	Control of Corruption: Estimate	1.349896431	1.376689911	1.325650334	1.278152943	1.25953114	1.269964576	1.288655162	1.325579286	1.308071971	1.279276848	1.268372536	1.260797977	1.225221634	1.218488932	1.230340838
Bermuda	BMU	Government Effectiveness: Estimate	1.154031157	1.151541233	1.17790544	1.027271986	1.027619243	0.997715175	1.021443725	1.021205425	1.005440235	0.995785773	1.008661389	1.014978647	0.952229023	1.00754571	1.328709245
Bermuda	BMU	Regulatory Quality: Estimate	1.468842149	1.447286487	1.448373318	1.360657215	1.350138307	1.377706289	1.398467541	1.408182502	1.391691685	1.372052789	1.327829003	1.327262163	0.885066509	0.912940443	0.871408939
Bermuda	BMU	Rule of Law: Estimate	1.237166286	1.261433959	1.108165264	0.857202649	0.82051301	0.839393795	0.855813384	0.863171935	1.11774087	1.098715305	1.102442503	1.108082652	0.018862573	0.883752644	0.856716096
