"COU","Country","CORP_TAX","Corporate income tax rate","YEA","Year","Value","Flag Codes","Flags"
"AUS","Australia","COMB_CIT_RATE","Combined corporate income tax rate","2011","2011",30,,
"AUS","Australia","COMB_CIT_RATE","Combined corporate income tax rate","2012","2012",30,,
"AUS","Australia","COMB_CIT_RATE","Combined corporate income tax rate","2013","2013",30,,
"AUS","Australia","COMB_CIT_RATE","Combined corporate income tax rate","2014","2014",30,,
"AUS","Australia","COMB_CIT_RATE","Combined corporate income tax rate","2015","2015",30,,
"AUS","Australia","COMB_CIT_RATE","Combined corporate income tax rate","2016","2016",30,,
"AUS","Australia","COMB_CIT_RATE","Combined corporate income tax rate","2017","2017",30,,
"AUT","Austria","CIT_RATE","Corporate income tax rate","2000","2000",34,,
"AUT","Austria","CIT_RATE","Corporate income tax rate","2001","2001",34,,
"AUT","Austria","CIT_RATE","Corporate income tax rate","2002","2002",34,,
"AUT","Austria","CIT_RATE","Corporate income tax rate","2003","2003",34,,
"AUT","Austria","CIT_RATE","Corporate income tax rate","2004","2004",34,,
"AUT","Austria","CIT_RATE","Corporate income tax rate","2005","2005",25,,
"AUT","Austria","CIT_RATE","Corporate income tax rate","2006","2006",25,,
"AUT","Austria","CIT_RATE","Corporate income tax rate","2007","2007",25,,
"AUT","Austria","CIT_RATE","Corporate income tax rate","2008","2008",25,,
"AUT","Austria","CIT_RATE","Corporate income tax rate","2009","2009",25,,
"AUT","Austria","CIT_RATE","Corporate income tax rate","2010","2010",25,,
"AUT","Austria","CIT_RATE","Corporate income tax rate","2011","2011",25,,
"AUT","Austria","CIT_RATE","Corporate income tax rate","2012","2012",25,,
"AUT","Austria","CIT_RATE","Corporate income tax rate","2013","2013",25,,
"AUT","Austria","CIT_RATE","Corporate income tax rate","2014","2014",25,,
"AUT","Austria","CIT_RATE","Corporate income tax rate","2015","2015",25,,
"AUT","Austria","CIT_RATE","Corporate income tax rate","2016","2016",25,,
"AUT","Austria","CIT_RATE","Corporate income tax rate","2017","2017",25,,
"AUT","Austria","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2000","2000",34,,
"AUT","Austria","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2001","2001",34,,
"AUT","Austria","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2002","2002",34,,
"AUT","Austria","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2003","2003",34,,
"AUT","Austria","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2004","2004",34,,
"AUT","Austria","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2005","2005",25,,
"AUT","Austria","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2006","2006",25,,
"AUT","Austria","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2007","2007",25,,
"AUT","Austria","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2008","2008",25,,
"AUT","Austria","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2009","2009",25,,
"AUT","Austria","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2010","2010",25,,
"AUT","Austria","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2011","2011",25,,
"AUT","Austria","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2012","2012",25,,
"AUT","Austria","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2013","2013",25,,
"AUT","Austria","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2014","2014",25,,
"AUT","Austria","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2015","2015",25,,
"AUT","Austria","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2016","2016",25,,
"AUT","Austria","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2017","2017",25,,
"AUT","Austria","COMB_CIT_RATE","Combined corporate income tax rate","2000","2000",34,,
"AUT","Austria","COMB_CIT_RATE","Combined corporate income tax rate","2001","2001",34,,
"AUT","Austria","COMB_CIT_RATE","Combined corporate income tax rate","2002","2002",34,,
"AUT","Austria","COMB_CIT_RATE","Combined corporate income tax rate","2003","2003",34,,
"AUT","Austria","COMB_CIT_RATE","Combined corporate income tax rate","2004","2004",34,,
"AUT","Austria","COMB_CIT_RATE","Combined corporate income tax rate","2005","2005",25,,
"AUT","Austria","COMB_CIT_RATE","Combined corporate income tax rate","2006","2006",25,,
"AUT","Austria","COMB_CIT_RATE","Combined corporate income tax rate","2007","2007",25,,
"AUT","Austria","COMB_CIT_RATE","Combined corporate income tax rate","2008","2008",25,,
"AUT","Austria","COMB_CIT_RATE","Combined corporate income tax rate","2009","2009",25,,
"AUT","Austria","COMB_CIT_RATE","Combined corporate income tax rate","2010","2010",25,,
"AUT","Austria","COMB_CIT_RATE","Combined corporate income tax rate","2011","2011",25,,
"AUT","Austria","COMB_CIT_RATE","Combined corporate income tax rate","2012","2012",25,,
"AUT","Austria","COMB_CIT_RATE","Combined corporate income tax rate","2013","2013",25,,
"AUT","Austria","COMB_CIT_RATE","Combined corporate income tax rate","2014","2014",25,,
"AUT","Austria","COMB_CIT_RATE","Combined corporate income tax rate","2015","2015",25,,
"AUT","Austria","COMB_CIT_RATE","Combined corporate income tax rate","2016","2016",25,,
"AUT","Austria","COMB_CIT_RATE","Combined corporate income tax rate","2017","2017",25,,
"BEL","Belgium","CIT_RATE","Corporate income tax rate","2000","2000",39,,
"BEL","Belgium","CIT_RATE","Corporate income tax rate","2001","2001",39,,
"BEL","Belgium","CIT_RATE","Corporate income tax rate","2002","2002",39,,
"BEL","Belgium","CIT_RATE","Corporate income tax rate","2003","2003",33,,
"BEL","Belgium","CIT_RATE","Corporate income tax rate","2004","2004",33,,
"BEL","Belgium","CIT_RATE","Corporate income tax rate","2005","2005",33,,
"BEL","Belgium","CIT_RATE","Corporate income tax rate","2006","2006",33,,
"BEL","Belgium","CIT_RATE","Corporate income tax rate","2007","2007",33,,
"BEL","Belgium","CIT_RATE","Corporate income tax rate","2008","2008",33,,
"BEL","Belgium","CIT_RATE","Corporate income tax rate","2009","2009",33,,
"BEL","Belgium","CIT_RATE","Corporate income tax rate","2010","2010",33,,
"BEL","Belgium","CIT_RATE","Corporate income tax rate","2011","2011",33,,
"BEL","Belgium","CIT_RATE","Corporate income tax rate","2012","2012",33,,
"BEL","Belgium","CIT_RATE","Corporate income tax rate","2013","2013",33,,
"BEL","Belgium","CIT_RATE","Corporate income tax rate","2014","2014",33,,
"BEL","Belgium","CIT_RATE","Corporate income tax rate","2015","2015",33,,
"BEL","Belgium","CIT_RATE","Corporate income tax rate","2016","2016",33,,
"BEL","Belgium","CIT_RATE","Corporate income tax rate","2017","2017",33,,
"BEL","Belgium","CIT_RATE_EXCL_SURTAX","Corporate income tax rate exclusive of surtax","2000","2000",39,,
"BEL","Belgium","CIT_RATE_EXCL_SURTAX","Corporate income tax rate exclusive of surtax","2001","2001",39,,
"BEL","Belgium","CIT_RATE_EXCL_SURTAX","Corporate income tax rate exclusive of surtax","2002","2002",39,,
"BEL","Belgium","CIT_RATE_EXCL_SURTAX","Corporate income tax rate exclusive of surtax","2003","2003",33,,
"BEL","Belgium","CIT_RATE_EXCL_SURTAX","Corporate income tax rate exclusive of surtax","2004","2004",33,,
"BEL","Belgium","CIT_RATE_EXCL_SURTAX","Corporate income tax rate exclusive of surtax","2005","2005",33,,
"BEL","Belgium","CIT_RATE_EXCL_SURTAX","Corporate income tax rate exclusive of surtax","2006","2006",33,,
"BEL","Belgium","CIT_RATE_EXCL_SURTAX","Corporate income tax rate exclusive of surtax","2007","2007",33,,
"BEL","Belgium","CIT_RATE_EXCL_SURTAX","Corporate income tax rate exclusive of surtax","2008","2008",33,,
"BEL","Belgium","CIT_RATE_EXCL_SURTAX","Corporate income tax rate exclusive of surtax","2009","2009",33,,
"BEL","Belgium","CIT_RATE_EXCL_SURTAX","Corporate income tax rate exclusive of surtax","2010","2010",33,,
"BEL","Belgium","CIT_RATE_EXCL_SURTAX","Corporate income tax rate exclusive of surtax","2011","2011",33,,
"BEL","Belgium","CIT_RATE_EXCL_SURTAX","Corporate income tax rate exclusive of surtax","2012","2012",33,,
"BEL","Belgium","CIT_RATE_EXCL_SURTAX","Corporate income tax rate exclusive of surtax","2013","2013",33,,
"BEL","Belgium","CIT_RATE_EXCL_SURTAX","Corporate income tax rate exclusive of surtax","2014","2014",33,,
"BEL","Belgium","CIT_RATE_EXCL_SURTAX","Corporate income tax rate exclusive of surtax","2015","2015",33,,
"BEL","Belgium","CIT_RATE_EXCL_SURTAX","Corporate income tax rate exclusive of surtax","2016","2016",33,,
"BEL","Belgium","CIT_RATE_EXCL_SURTAX","Corporate income tax rate exclusive of surtax","2017","2017",33,,
"BEL","Belgium","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2000","2000",40.17,,
"BEL","Belgium","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2001","2001",40.17,,
"BEL","Belgium","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2002","2002",40.17,,
"BEL","Belgium","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2003","2003",33.99,,
"BEL","Belgium","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2004","2004",33.99,,
"BEL","Belgium","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2005","2005",33.99,,
"BEL","Belgium","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2006","2006",35.97,,
"BEL","Belgium","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2007","2007",33.99,,
"BEL","Belgium","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2008","2008",33.99,,
"BEL","Belgium","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2009","2009",33.99,,
"BEL","Belgium","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2010","2010",33.99,,
"BEL","Belgium","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2011","2011",33.99,,
"BEL","Belgium","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2012","2012",33.99,,
"BEL","Belgium","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2013","2013",33.99,,
"BEL","Belgium","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2014","2014",33.99,,
"BEL","Belgium","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2015","2015",33.99,,
"BEL","Belgium","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2016","2016",33.99,,
"BEL","Belgium","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2017","2017",33.99,,
"BEL","Belgium","COMB_CIT_RATE","Combined corporate income tax rate","2000","2000",40.17,,
"BEL","Belgium","COMB_CIT_RATE","Combined corporate income tax rate","2001","2001",40.17,,
"BEL","Belgium","COMB_CIT_RATE","Combined corporate income tax rate","2002","2002",40.17,,
"BEL","Belgium","COMB_CIT_RATE","Combined corporate income tax rate","2003","2003",33.99,,
"BEL","Belgium","COMB_CIT_RATE","Combined corporate income tax rate","2004","2004",33.99,,
"BEL","Belgium","COMB_CIT_RATE","Combined corporate income tax rate","2005","2005",33.99,,
"BEL","Belgium","COMB_CIT_RATE","Combined corporate income tax rate","2006","2006",35.97,,
"BEL","Belgium","COMB_CIT_RATE","Combined corporate income tax rate","2007","2007",33.99,,
"BEL","Belgium","COMB_CIT_RATE","Combined corporate income tax rate","2008","2008",33.99,,
"BEL","Belgium","COMB_CIT_RATE","Combined corporate income tax rate","2009","2009",33.99,,
"BEL","Belgium","COMB_CIT_RATE","Combined corporate income tax rate","2010","2010",33.99,,
"BEL","Belgium","COMB_CIT_RATE","Combined corporate income tax rate","2011","2011",33.99,,
"BEL","Belgium","COMB_CIT_RATE","Combined corporate income tax rate","2012","2012",33.99,,
"BEL","Belgium","COMB_CIT_RATE","Combined corporate income tax rate","2013","2013",33.99,,
"BEL","Belgium","COMB_CIT_RATE","Combined corporate income tax rate","2014","2014",33.99,,
"BEL","Belgium","COMB_CIT_RATE","Combined corporate income tax rate","2015","2015",33.99,,
"BEL","Belgium","COMB_CIT_RATE","Combined corporate income tax rate","2016","2016",33.99,,
"BEL","Belgium","COMB_CIT_RATE","Combined corporate income tax rate","2017","2017",33.99,,
"CAN","Canada","CIT_RATE","Corporate income tax rate","2000","2000",29.12,,
"CAN","Canada","CIT_RATE","Corporate income tax rate","2001","2001",28.12,,
"CAN","Canada","CIT_RATE","Corporate income tax rate","2002","2002",26.12,,
"CAN","Canada","CIT_RATE","Corporate income tax rate","2003","2003",24.12,,
"CAN","Canada","CIT_RATE","Corporate income tax rate","2004","2004",22.12,,
"CAN","Canada","CIT_RATE","Corporate income tax rate","2005","2005",22.12,,
"CAN","Canada","CIT_RATE","Corporate income tax rate","2006","2006",22.12,,
"CAN","Canada","CIT_RATE","Corporate income tax rate","2007","2007",22.12,,
"CAN","Canada","CIT_RATE","Corporate income tax rate","2008","2008",19.5,,
"CAN","Canada","CIT_RATE","Corporate income tax rate","2009","2009",19.5,,
"CAN","Canada","CIT_RATE","Corporate income tax rate","2010","2010",18,,
"CAN","Canada","CIT_RATE","Corporate income tax rate","2011","2011",16.5,,
"CAN","Canada","CIT_RATE","Corporate income tax rate","2012","2012",15,,
"CAN","Canada","CIT_RATE","Corporate income tax rate","2013","2013",15,,
"CAN","Canada","CIT_RATE","Corporate income tax rate","2014","2014",15,,
"CAN","Canada","CIT_RATE","Corporate income tax rate","2015","2015",15,,
"CAN","Canada","CIT_RATE","Corporate income tax rate","2016","2016",15,,
"CAN","Canada","CIT_RATE","Corporate income tax rate","2017","2017",15,,
"CAN","Canada","CIT_RATE_EXCL_SURTAX","Corporate income tax rate exclusive of surtax","2000","2000",28,,
"CAN","Canada","CIT_RATE_EXCL_SURTAX","Corporate income tax rate exclusive of surtax","2001","2001",27,,
"CAN","Canada","CIT_RATE_EXCL_SURTAX","Corporate income tax rate exclusive of surtax","2002","2002",25,,
"CAN","Canada","CIT_RATE_EXCL_SURTAX","Corporate income tax rate exclusive of surtax","2003","2003",23,,
"CAN","Canada","CIT_RATE_EXCL_SURTAX","Corporate income tax rate exclusive of surtax","2004","2004",21,,
"CAN","Canada","CIT_RATE_EXCL_SURTAX","Corporate income tax rate exclusive of surtax","2005","2005",21,,
"CAN","Canada","CIT_RATE_EXCL_SURTAX","Corporate income tax rate exclusive of surtax","2006","2006",21,,
"CAN","Canada","CIT_RATE_EXCL_SURTAX","Corporate income tax rate exclusive of surtax","2007","2007",21,,
"CAN","Canada","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2000","2000",29.12,,
"CAN","Canada","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2001","2001",28.12,,
"CAN","Canada","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2002","2002",26.12,,
"CAN","Canada","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2003","2003",24.12,,
"CAN","Canada","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2004","2004",22.12,,
"CAN","Canada","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2005","2005",22.12,,
"CAN","Canada","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2006","2006",22.12,,
"CAN","Canada","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2007","2007",22.12,,
"CAN","Canada","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2008","2008",19.5,,
"CAN","Canada","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2009","2009",19,,
"CAN","Canada","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2010","2010",18,,
"CAN","Canada","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2011","2011",16.5,,
"CAN","Canada","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2012","2012",15,,
"CAN","Canada","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2013","2013",15,,
"CAN","Canada","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2014","2014",15,,
"CAN","Canada","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2015","2015",15,,
"CAN","Canada","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2016","2016",15,,
"CAN","Canada","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2017","2017",15,,
"CAN","Canada","SUB_CENT_GOV_CIT_RATE","Sub-central government corporate income tax rate","2000","2000",13.31,,
"CAN","Canada","SUB_CENT_GOV_CIT_RATE","Sub-central government corporate income tax rate","2001","2001",12.36,,
"CAN","Canada","SUB_CENT_GOV_CIT_RATE","Sub-central government corporate income tax rate","2002","2002",11.9,,
"CAN","Canada","SUB_CENT_GOV_CIT_RATE","Sub-central government corporate income tax rate","2003","2003",11.75,,
"CAN","Canada","SUB_CENT_GOV_CIT_RATE","Sub-central government corporate income tax rate","2004","2004",12.26,,
"CAN","Canada","SUB_CENT_GOV_CIT_RATE","Sub-central government corporate income tax rate","2005","2005",12.06,,
"CAN","Canada","SUB_CENT_GOV_CIT_RATE","Sub-central government corporate income tax rate","2006","2006",11.81,,
"CAN","Canada","SUB_CENT_GOV_CIT_RATE","Sub-central government corporate income tax rate","2007","2007",11.83,,
"CAN","Canada","SUB_CENT_GOV_CIT_RATE","Sub-central government corporate income tax rate","2008","2008",11.9,,
"CAN","Canada","SUB_CENT_GOV_CIT_RATE","Sub-central government corporate income tax rate","2009","2009",11.9,,
"CAN","Canada","SUB_CENT_GOV_CIT_RATE","Sub-central government corporate income tax rate","2010","2010",11.4,,
"CAN","Canada","SUB_CENT_GOV_CIT_RATE","Sub-central government corporate income tax rate","2011","2011",11.2,,
"CAN","Canada","SUB_CENT_GOV_CIT_RATE","Sub-central government corporate income tax rate","2012","2012",11.1,,
"CAN","Canada","SUB_CENT_GOV_CIT_RATE","Sub-central government corporate income tax rate","2013","2013",11.2,,
"CAN","Canada","SUB_CENT_GOV_CIT_RATE","Sub-central government corporate income tax rate","2014","2014",11.2,,
"CAN","Canada","SUB_CENT_GOV_CIT_RATE","Sub-central government corporate income tax rate","2015","2015",11.7,,
"CAN","Canada","SUB_CENT_GOV_CIT_RATE","Sub-central government corporate income tax rate","2016","2016",11.7,,
"CAN","Canada","SUB_CENT_GOV_CIT_RATE","Sub-central government corporate income tax rate","2017","2017",11.7,,
"CAN","Canada","COMB_CIT_RATE","Combined corporate income tax rate","2000","2000",42.43,,
"CAN","Canada","COMB_CIT_RATE","Combined corporate income tax rate","2001","2001",40.48,,
"CAN","Canada","COMB_CIT_RATE","Combined corporate income tax rate","2002","2002",38.02,,
"CAN","Canada","COMB_CIT_RATE","Combined corporate income tax rate","2003","2003",35.87,,
"CAN","Canada","COMB_CIT_RATE","Combined corporate income tax rate","2004","2004",34.38,,
"CAN","Canada","COMB_CIT_RATE","Combined corporate income tax rate","2005","2005",34.18,,
"CAN","Canada","COMB_CIT_RATE","Combined corporate income tax rate","2006","2006",33.93,,
"CAN","Canada","COMB_CIT_RATE","Combined corporate income tax rate","2007","2007",33.95,,
"CAN","Canada","COMB_CIT_RATE","Combined corporate income tax rate","2008","2008",31.4,,
"CAN","Canada","COMB_CIT_RATE","Combined corporate income tax rate","2009","2009",30.9,,
"CAN","Canada","COMB_CIT_RATE","Combined corporate income tax rate","2010","2010",29.4,,
"CAN","Canada","COMB_CIT_RATE","Combined corporate income tax rate","2011","2011",27.7,,
"CAN","Canada","COMB_CIT_RATE","Combined corporate income tax rate","2012","2012",26.1,,
"CAN","Canada","COMB_CIT_RATE","Combined corporate income tax rate","2013","2013",26.2,,
"CAN","Canada","COMB_CIT_RATE","Combined corporate income tax rate","2014","2014",26.2,,
"CAN","Canada","COMB_CIT_RATE","Combined corporate income tax rate","2015","2015",26.7,,
"CAN","Canada","COMB_CIT_RATE","Combined corporate income tax rate","2016","2016",26.7,,
"CAN","Canada","COMB_CIT_RATE","Combined corporate income tax rate","2017","2017",26.7,,
"CZE","Czech Republic","CIT_RATE","Corporate income tax rate","2000","2000",31,,
"CZE","Czech Republic","CIT_RATE","Corporate income tax rate","2001","2001",31,,
"CZE","Czech Republic","CIT_RATE","Corporate income tax rate","2002","2002",31,,
"CZE","Czech Republic","CIT_RATE","Corporate income tax rate","2003","2003",31,,
"CZE","Czech Republic","CIT_RATE","Corporate income tax rate","2004","2004",28,,
"CZE","Czech Republic","CIT_RATE","Corporate income tax rate","2005","2005",26,,
"CZE","Czech Republic","CIT_RATE","Corporate income tax rate","2006","2006",24,,
"CZE","Czech Republic","CIT_RATE","Corporate income tax rate","2007","2007",24,,
"CZE","Czech Republic","CIT_RATE","Corporate income tax rate","2008","2008",21,,
"CZE","Czech Republic","CIT_RATE","Corporate income tax rate","2009","2009",20,,
"CZE","Czech Republic","CIT_RATE","Corporate income tax rate","2010","2010",19,,
"CZE","Czech Republic","CIT_RATE","Corporate income tax rate","2011","2011",19,,
"CZE","Czech Republic","CIT_RATE","Corporate income tax rate","2012","2012",19,,
"CZE","Czech Republic","CIT_RATE","Corporate income tax rate","2013","2013",19,,
"CZE","Czech Republic","CIT_RATE","Corporate income tax rate","2014","2014",19,,
"CZE","Czech Republic","CIT_RATE","Corporate income tax rate","2015","2015",19,,
"CZE","Czech Republic","CIT_RATE","Corporate income tax rate","2016","2016",19,,
"CZE","Czech Republic","CIT_RATE","Corporate income tax rate","2017","2017",19,,
"CZE","Czech Republic","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2000","2000",31,,
"CZE","Czech Republic","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2001","2001",31,,
"CZE","Czech Republic","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2002","2002",31,,
"CZE","Czech Republic","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2003","2003",31,,
"CZE","Czech Republic","CIT_RATE_LESS_SUB_NAT","Corporate income tax rate less deductions for sub-national taxes","2004","2004",28,,
